numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
5	0.80	1600	deviance	0.9325	0.8455	494.8000	3199	4.8750
10	0.80	1600	deviance	0.9335	0.8449	496.8000	3199	9.4375
15	0.80	1600	deviance	0.9324	0.8462	492.6667	3199	14.2344
20	0.80	1600	deviance	0.9334	0.8451	497.1500	3199	18.2344
1	0.70	25	gdi	0.3769	0.3761	3063.0000	4800	1.1719
5	0.70	25	gdi	0.3759	0.3684	3050.8000	4800	5.7969
10	0.70	25	gdi	0.3737	0.3687	3033.9000	4800	10.7656
15	0.70	25	gdi	0.3741	0.3720	3036.2000	4800	16.7656
20	0.70	25	gdi	0.3683	0.3648	3043.8000	4800	22.3594
1	0.70	25	twoing	0.4906	0.4844	2493.0000	4800	1.1406
5	0.70	25	twoing	0.4832	0.4758	2525.6000	4800	5.6875
10	0.70	25	twoing	0.4886	0.4841	2486.8000	4800	11.2188
15	0.70	25	twoing	0.4857	0.4809	2497.6000	4800	17.8594
20	0.70	25	twoing	0.4866	0.4824	2491.4500	4800	23.1250
1	0.70	25	deviance	0.4748	0.4543	2627.0000	4800	1.0469
5	0.70	25	deviance	0.4726	0.4654	2583.2000	4800	5.5469
10	0.70	25	deviance	0.4765	0.4747	2532.3000	4800	11.1250
15	0.70	25	deviance	0.4743	0.4712	2538.6667	4800	16.9219
20	0.70	25	deviance	0.4738	0.4678	2559.2000	4800	23.2188
1	0.70	100	gdi	0.6278	0.6124	1870.0000	4800	1.2813
5	0.70	100	gdi	0.6345	0.6216	1814.6000	4800	5.7031
10	0.70	100	gdi	0.6271	0.6132	1873.1000	4800	11.7500
15	0.70	100	gdi	0.6279	0.6162	1848.2000	4800	17.3281
20	0.70	100	gdi	0.6295	0.6167	1839.1500	4800	23.4375
1	0.70	100	twoing	0.6496	0.6485	1698.0000	4800	1.1875
5	0.70	100	twoing	0.6570	0.6392	1734.0000	4800	5.5938
10	0.70	100	twoing	0.6607	0.6503	1679.8000	4800	11.5156
15	0.70	100	twoing	0.6620	0.6431	1713.0667	4800	20.2031
20	0.70	100	twoing	0.6604	0.6439	1713.2000	4800	30.7344
1	0.70	100	deviance	0.6603	0.6513	1684.0000	4800	1.0938
5	0.70	100	deviance	0.6827	0.6665	1601.4000	4800	5.5625
10	0.70	100	deviance	0.6735	0.6596	1640.0000	4800	11.6563
15	0.70	100	deviance	0.6752	0.6609	1635.7333	4800	16.8750
20	0.70	100	deviance	0.6756	0.6613	1631.3500	4800	22.7031
1	0.70	400	gdi	0.8058	0.7594	1155.0000	4800	1.1094
5	0.70	400	gdi	0.8115	0.7598	1154.8000	4800	6.0156
10	0.70	400	gdi	0.8065	0.7610	1150.9000	4800	11.8750
15	0.70	400	gdi	0.8072	0.7586	1163.0000	4800	17.8438
20	0.70	400	gdi	0.8060	0.7592	1159.4000	4800	23.6719
1	0.70	400	twoing	0.8227	0.7710	1099.0000	4800	1.1094
5	0.70	400	twoing	0.8251	0.7728	1089.6000	4800	5.9844
10	0.70	400	twoing	0.8256	0.7730	1090.5000	4800	12.1094
15	0.70	400	twoing	0.8232	0.7748	1085.4667	4800	17.6406
20	0.70	400	twoing	0.8242	0.7770	1071.2000	4800	23.7656
1	0.70	400	deviance	0.8443	0.7901	1007.0000	4800	1.2656
5	0.70	400	deviance	0.8400	0.7867	1023.0000	4800	6.3125
10	0.70	400	deviance	0.8381	0.7896	1012.8000	4800	11.9219
15	0.70	400	deviance	0.8385	0.7860	1028.9333	4800	17.5469
20	0.70	400	deviance	0.8400	0.7874	1020.3000	4800	24.0469
1	0.70	800	gdi	0.9144	0.8176	874.0000	4800	1.2813
5	0.70	800	gdi	0.9156	0.8244	844.0000	4800	6.4375
10	0.70	800	gdi	0.9164	0.8287	824.5000	4800	11.7969
